normalizedPath,domains,repos,methods,occurrences,coverageCategory,evidence
/activity/${actHashId},other,miniapp,PUT,1,frontend-only,semir-reabam-front/packageForLive/utils/wechat-mudu.min.js:6
/activity/b2b/wheel/comps,other,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:120 | semir-reabam-admin/src/js/api.js:2231
/activity/b2b/wheel/decoration,other,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:106 | semir-reabam-admin/src/js/api.js:2229
/activity/b2b/wheel/detail,other,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:92 | semir-reabam-admin/src/js/api.js:2227
/activity/b2b/wheel/edit,other,backend|admin-v1,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:63 | semir-reabam-admin/src/js/api.js:2223
/activity/b2b/wheel/list,other,backend|admin-v1,POST|POST(default),3,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:49 | semir-reabam-admin/src/js/api.js:2225 | semir-reabam-admin/src/js/api2.js:1830
/activity/b2b/wheel/mall/page,other,backend|miniapp,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:134 | semir-reabam-front/public/api.js:59
/activity/b2b/wheel/mall/result,other,backend|miniapp,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java:46 | semir-reabam-front/public/api.js:61
/activity/b2b/wheel/mall/reward,other,backend|miniapp,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java:63 | semir-reabam-front/public/api.js:60
/activity/b2b/wheel/orderWheelInfo,other,backend|miniapp,POST|POST(default),2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java:73 | semir-reabam-front/public/api.js:51
/activity/b2b/wheel/type,other,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java:78
/activity/common/active/activity/list,other,backend|admin-v1|admin-v2,GET|POST(default),4,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/ActivityCommonController.java:28 | semir-bmall-admin-v2/app/src/pages/home/service/index.ts:20 | semir-reabam-admin/src/js/api.js:3175 | semir-reabam-admin/src/pages/home/service.js:35
/activity/liveChannels/activity/commodity/export,report-export,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:330
/activity/liveChannels/callbackChangeData,other,backend,POST,1,backend-only,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:276
/activity/liveChannels/channel/pageSkc,product-skc-sku,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:299 | semir-bmall-admin-v2/app/src/pages/liveRoom/service/index.ts:151
/activity/liveChannels/channel/skcSerialNumber,product-skc-sku,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:307 | semir-bmall-admin-v2/app/src/pages/liveRoom/service/index.ts:169
/activity/liveChannels/check/company/permissions,customer-org,backend|admin-v2,GET,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:346 | semir-bmall-admin-v2/app/src/pages/liveRoom/service/index.ts:22
/activity/liveChannels/checkItemShow,other,backend|admin-v2,GET|POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:315 | semir-bmall-admin-v2/app/src/pages/liveRoom/service/index.ts:188
/activity/liveChannels/currentBrand/liveInfo,other,backend|admin-v2,GET|POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:354 | semir-bmall-admin-v2/app/src/pages/liveRoom/service/index.ts:52
/activity/liveChannels/del,other,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:157 | semir-bmall-admin-v2/app/src/pages/liveManager/service/index.ts:179
/activity/liveChannels/detail,other,backend|admin-v2,POST,2,backend-and-frontend,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:87 | semir-bmall-admin-v2/app/src/pages/liveManager/service/index.ts:354
/activity/liveChannels/detailById,other,backend,GET,1,backend-only,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/live/LiveChannelsController.java:79
