repoId,repo,sourceType,domain,method,coverageCategory,normalizedPath,path,handler,request,response,evidenceFile,evidenceLine
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/comps,/activity/b2b/wheel/comps,B2bManagerWheelController.findWheelComps,CommonPageReq<Long> req,Response<RespPage<BaseWheelCompResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,120
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/decoration,/activity/b2b/wheel/decoration,B2bManagerWheelController.getWheelDecoration,IDReq req,Response<BaseWheelDecorationResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,106
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/detail,/activity/b2b/wheel/detail,B2bManagerWheelController.getWheelDetail,IDReq req,Response<BaseWheelResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,92
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/edit,/activity/b2b/wheel/edit,B2bManagerWheelController.wheelEdit,BaseWheelReq wheelReq,Response<Long>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,63
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/list,/activity/b2b/wheel/list,B2bManagerWheelController.findWheels,AdvPageReq<Long> req,Response<RespPage<WheelListResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,49
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/mall/page,/activity/b2b/wheel/mall/page,B2bManagerWheelController.getWheelPage,IDReq req,Response<B2bWheelPageResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,134
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/mall/result,/activity/b2b/wheel/mall/result,B2bWheelController.drawLottery,DrawLotteryReq req,Response<BaseWheelPrizeResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java,46
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/mall/reward,/activity/b2b/wheel/mall/reward,B2bWheelController.getWheelSuccessResps,CommonPageReq<Long> req,Response<RespPage<BaseWheelSuccessResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java,63
backend,reabam-mop-b2b,backend-controller,other,POST,backend-and-frontend,/activity/b2b/wheel/orderWheelInfo,/activity/b2b/wheel/orderWheelInfo,B2bWheelController.orderWheelInfo,CommonIDReq<String> req,Response<B2bOrderWheelResp>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bWheelController.java,73
backend,reabam-mop-b2b,backend-controller,other,POST,backend-only,/activity/b2b/wheel/type,/activity/b2b/wheel/type,B2bManagerWheelController.findPrizeTypes,,Response<List<BaseWheelPrizeTypeResp>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/wheel/B2bManagerWheelController.java,78
backend,reabam-mop-b2b,backend-controller,other,GET,backend-and-frontend,/activity/common/active/activity/list,/activity/common/active/activity/list,ActivityCommonController.listActiveActivity,,Response<List<ActiveActivityVo>>,reabam-mop-b2b/reabam-service/reabam-activity/src/main/java/com/reabam/controller/ActivityCommonController.java,28
